ticker,name,ipo_date,ipo_price,shares_offered,offering_size,exchange,underwriter,sector,industry,d1_open,d1_high,d1_low,d1_close,d1_volume,d2_open,d2_high,d2_close,d2_volume,d5_close,ret_d1,ret_d5,is_spac,is_biotech,bookrunner,all_underwriters,d1_open_ret,d1_close_ret,d1_high_ret,d1_intraday_range,d2_close_ret,d5_close_ret,price_tier,is_high_price,size_tier,is_large_offering,is_hot_sector,is_ai,is_fintech,is_ev_clean,has_top_underwriter,ipo_year,ipo_month,ipo_quarter,ipo_weekday,d1_pop,d2_pop,any_d1d2_pop
PASG,PASSAGE BIO INC,2020-02-28,18.0,12000000,216000000.0,NASDAQ CM,"JPM,US,GS",Health Care,Biotechnology,22.270000457763672,23.0,20.15999984741211,22.200000762939453,248048,22.850000381469727,23.25,21.5,33341,19.75,-0.3100000023841858,-11.319999694824219,0,False,"JPM,US,GS",,23.72222476535373,23.33333757188585,27.777777777777768,12.752582371850925,19.444444444444443,9.722222222222232,mid_15_30,False,mid_100M_500M,False,False,False,False,False,False,2020,2,1,4,True,False,True
DFPHU,Oncology Institute Inc The,2020-03-11,10.0,0,0.0,NASDAQ,,,,10.180000305175781,10.21500015258789,10.149999618530273,10.199999809265137,3739123,10.1899995803833,10.1899995803833,10.010000228881836,1061726,9.699999809265137,0.20000000298023224,-4.71999979019165,1,True,,,1.8000030517578036,1.9999980926513672,2.1500015258788974,0.6385121032321502,0.10000228881836826,-3.0000019073486373,low_under_15,False,small_under_100M,False,False,False,False,False,False,2020,3,1,2,False,False,False
WIMI,WIMI HOLOGRAM CLOUD INC-B,2020-04-01,6.0,4750000,26000000.0,NASDAQ GM,JOINT LEADS,Information Technology,Prepackaged Software,6.0,6.0,4.699999809265137,5.5,162407,5.5,5.599999904632568,5.389999866485596,13773,5.434000015258789,-8.329999923706055,-9.430000305175781,0,False,JOINT LEADS,,0.0,-8.333333333333337,0.0,21.666669845581055,-10.166668891906738,-9.433333079020178,low_under_15,False,small_under_100M,False,True,False,False,False,False,2020,4,2,2,False,False,False
ZNTL,ZENTALIS PHARMACEUTICALS INC,2020-04-03,18.0,9180000,165000000.0,NASDAQ GM,"MS,GUGG,JEFF,SVBLEE",Health Care,Pharmaceuticals,25.200000762939453,27.0,23.0,23.200000762939453,1915036,24.690000534057617,26.139999389648438,24.389999389648438,213139,24.309999465942383,-7.940000057220459,-3.5299999713897705,0,True,"MS,GUGG,JEFF,SVBLEE",,40.00000423855252,28.888893127441406,50.0,15.873015392454379,35.49999660915799,35.05555258856879,mid_15_30,False,mid_100M_500M,False,False,False,False,False,False,2020,4,2,4,True,True,True
KROS,KEROS THERAPEUTICS INC,2020-04-08,16.0,6000000,96000000.0,NASDAQ GM,"JEFF,PIPR,SVBLEE",Health Care,Pharmaceuticals,20.850000381469727,22.84000015258789,19.100000381469727,20.079999923706055,1063768,20.100000381469727,23.18939971923828,21.56999969482422,150901,27.18000030517578,-3.690000057220459,30.360000610351562,0,True,"JEFF,PIPR,SVBLEE",,30.31250238418579,25.499999523162842,42.750000953674316,17.93764845415571,34.81249809265137,69.87500190734863,mid_15_30,False,small_under_100M,False,False,False,False,False,False,2020,4,2,2,True,True,True
ORIC,ORIC PHARMACEUTICALS INC,2020-04-24,16.0,7500000,120000000.0,NASDAQ GS,"JPM,CITI,GUGG,JEFF",Health Care,Pharmaceuticals,26.0,26.850000381469727,24.260000228881836,25.770000457763672,3699301,26.350000381469727,28.200000762939453,26.059999465942383,603449,26.450000762939453,-0.8799999952316284,1.7300000190734863,0,True,"JPM,CITI,GUGG,JEFF",,62.5,61.06250286102295,67.81250238418579,9.961539048414963,62.87499666213989,65.31250476837158,mid_15_30,False,mid_100M_500M,False,False,False,False,False,True,2020,4,2,4,True,True,True
APG,APi Group Corporation,2020-04-29,10.0,0,0.0,NYSE,,Information Technology,Business Services,6.753300189971924,7.153299808502197,6.5304999351501465,6.933300018310547,3855924,6.993299961090088,6.993299961090088,6.73330020904541,1037952,6.599999904632568,2.6700000762939453,-2.2699999809265137,0,False,,,-32.46699810028076,-30.666999816894535,-28.46700191497803,9.22215592129098,-32.666997909545906,-34.000000953674316,low_under_15,False,small_under_100M,False,False,False,False,False,False,2020,4,2,2,False,False,False
CGROU,Collective Growth Corporation,2020-05-01,10.0,0,0.0,NASDAQ,,,,10.0,10.010000228881836,9.960000038146973,9.960000038146973,7332102,9.989999771118164,9.989999771118164,9.9399995803833,1337786,9.949999809265137,-0.4000000059604645,-0.5,1,False,,,0.0,-0.3999996185302779,0.10000228881836826,0.5000019073486328,-0.6000041961669922,-0.500001907348635,low_under_15,False,small_under_100M,False,False,False,False,False,False,2020,5,2,4,False,False,False
DCTH,DELCATH SYSTEMS INC,2020-05-01,10.0,2200000,22000000.0,NASDAQ CM,Roth Capital Partners Inc,Health Care,Surgical Instruments,6.25,7.900000095367432,6.059999942779541,7.659999847412109,617086,7.659999847412109,7.699999809265137,7.5,82168,8.069999694824219,22.559999465942383,29.1200008392334,0,False,Roth Capital Partners Inc,,-37.5,-23.40000152587891,-20.99999904632568,29.44000244140625,-25.0,-19.30000305175781,low_under_15,False,small_under_100M,False,False,False,False,False,False,2020,5,2,4,False,False,False
LYRA,LYRA THERAPEUTICS INC,2020-05-01,16.0,3500000,56000000.0,NASDAQ CM,"BofA,JEFF,WBC",Health Care,Surgical Instruments,21.0,22.0,17.600000381469727,18.559999465942383,34774,20.0,20.0,17.780000686645508,6046,15.0,-11.619999885559082,-28.56999969482422,0,True,"BofA,JEFF,WBC",,31.25,15.999996662139893,37.5,20.952379135858447,11.125004291534424,-6.25,mid_15_30,False,small_under_100M,False,False,False,False,False,True,2020,5,2,4,False,False,False
